Treatment,Muestra,Total_distance,Speed,Seconds,Dis_in_15fra,Frames,For_use,From_center,Treatment_complete
EtOH_72hpf,larva2,45.47451261068292,33.13349581375751,1.8,13.790401095561876,54.0,1,7.612226709255712,EtOH_Exp1_72
EtOH_72hpf,larva3,28.740729820102693,9.264019540449866,3.1,5.729041490160912,93.0,1,3.886943082233452,EtOH_Exp1_72
EtOH_72hpf,larva1,37.16884555769231,29.566969580769232,1.2,15.475858451128722,36.0,1,7.597973923291137,EtOH_Exp1_72
EtOH_72hpf,larva4,19.08654049893053,21.207267221033923,0.9666666666666667,7.745452694343046,29.0,1,8.289682346286249,EtOH_Exp1_72
EtOH_72hpf,larva5,20.112273764773438,44.75005018706989,0.4666666666666667,33.51161124608816,14.0,0,13.399337481314719,EtOH_Exp1_72
EtOH_72hpf,larva6,29.631281461102883,12.356606956403827,2.466666666666667,10.18503774963705,74.0,1,14.328777707231977,EtOH_Exp1_72
EtOH_72hpf,larva7,117.50112587651941,48.244214575874416,2.433333333333333,22.785974141736386,73.0,1,12.299429921144132,EtOH_Exp1_72
EtOH_72hpf,larva8,8.137823777883117,16.242612426125177,0.5,15.695818999348704,15.0,0,7.557995221465591,EtOH_Exp1_72
EtOH_72hpf,larva9,94.71408908755865,13.47813536746575,2.2666666666666666,9.665986333474107,68.0,1,7.196535480726335,EtOH_Exp1_72
EtOH_72hpf,larva10,23.185892242673365,12.721286658399405,1.8666666666666667,5.616918238554217,56.0,1,13.965151383754186,EtOH_Exp1_72
Ctrl_72hpf,larva1,25.155070622161404,20.396003207157893,1.2333333333333334,6.696645068454921,37.0,1,5.5786741821739385,Ctrl_Exp1_72
Ctrl_72hpf,larva2,16.304213777484453,10.406944964351776,1.5666666666666667,4.542657809992418,47.0,1,7.718765275642315,Ctrl_Exp1_72
Ctrl_72hpf,larva3,9.973370130769231,44.235453225,0.26666666666666666,18.911157846751934,8.0,0,8.937787716753267,Ctrl_Exp1_72
Ctrl_72hpf,larva4,10.717782661538461,40.94047849615385,0.23333333333333334,21.05562101190543,7.0,0,10.337838350757684,Ctrl_Exp1_72
Ctrl_72hpf,larva5,36.869247776735385,26.393236211203188,1.3,8.690029359087461,39.0,1,11.046905232583375,Ctrl_Exp1_72
Ctrl_72hpf,larva6,8.203116967307691,12.952289948076922,0.6333333333333333,6.982083681174428,19.0,1,7.027417479427339,Ctrl_Exp1_72
Ctrl_72hpf,larva7,8.799745154044006,20.30403788534589,0.43333333333333335,15.738240713797198,13.0,0,6.9384955597531945,Ctrl_Exp1_72
Ctrl_72hpf,larva8,13.031515969673931,12.430713840905907,0.9666666666666667,10.987892174606642,29.0,1,10.390366622990879,Ctrl_Exp1_72
Ctrl_72hpf,larva9,9.657451521153847,26.33850414807692,0.36666666666666664,18.86789223600981,11.0,0,9.21044069991794,Ctrl_Exp1_72
Ctrl_72hpf,larva10,12.643326931965767,14.588454152268191,0.8666666666666667,8.681333325250835,26.0,1,11.310214256955078,Ctrl_Exp1_72
Ctrl_72hpf,larva3,8.784713318931942,23.765470273852006,0.4666666666666667,16.780723045959757,14.0,0,7.996009727027816,Ctrl_Exp2_72
Ctrl_72hpf,larva2,8.725273611538462,25.637392684615385,0.3333333333333333,14.759960150232153,10.0,0,6.03468656837057,Ctrl_Exp2_72
Ctrl_72hpf,larva1,6.971776742686517,19.952236512615055,0.4,11.579408068901817,12.0,0,4.607631326215295,Ctrl_Exp2_72
Ctrl_72hpf,larva4,12.033764201305932,35.3345143553786,0.4,21.869768794626246,12.0,0,9.83600459332031,Ctrl_Exp2_72
Ctrl_72hpf,larva5,30.389128057692307,29.697784823076923,1.0333333333333334,24.438175423584305,31.0,1,14.32912488679323,Ctrl_Exp2_72
Ctrl_72hpf,larva6,7.5757368219806205,14.774921626695809,0.43333333333333335,13.755381258995344,13.0,0,6.179644437014729,Ctrl_Exp2_72
Ctrl_72hpf,larva7,8.672506605179667,37.56323631738027,0.23333333333333334,16.53593592557588,7.0,0,7.863429320396217,Ctrl_Exp2_72
Ctrl_72hpf,larva8,6.011359931171663,15.027901109409829,0.36666666666666664,11.507404270653755,11.0,0,5.496044339482096,Ctrl_Exp2_72
Ctrl_72hpf,larva9,12.646845736919943,12.921186920996815,1.1333333333333333,12.646845736919936,34.0,1,11.032779691410239,Ctrl_Exp2_72
Ctrl_72hpf,larva10,13.057765093755197,24.48330955079099,0.5333333333333333,12.498773141566712,16.0,1,10.784304777136303,Ctrl_Exp2_72
Ctrl_72hpf,larva3,10.479841617307692,34.932805396153846,0.3,19.513329627804936,9.0,0,9.033488009518631,Ctrl_Exp3_72
Ctrl_72hpf,larva2,12.99041607393114,48.71406027724178,0.26666666666666666,23.9301020717678,8.0,0,10.939685997836657,Ctrl_Exp3_72
Ctrl_72hpf,larva1,10.277504248270093,25.848855412980427,0.36666666666666664,18.41830405349812,11.0,0,8.140799805228031,Ctrl_Exp3_72
Ctrl_72hpf,larva4,6.242155682716154,23.40808381018558,0.26666666666666666,12.307382769086734,8.0,0,6.065227086370581,Ctrl_Exp3_72
Ctrl_72hpf,larva5,19.33174801923077,64.4391600576923,0.3,37.4798819417299,9.0,0,18.14813391665134,Ctrl_Exp3_72
Ctrl_72hpf,larva6,8.935236540384615,17.591118623076923,0.43333333333333335,17.07600242824772,13.0,0,8.140765884729564,Ctrl_Exp3_72
Ctrl_72hpf,larva7,12.352022999570313,24.746751822664763,0.7,21.452738905884715,21.0,0,9.100715906314397,Ctrl_Exp3_72
